"ratings","claimant","claim"
"0.23"," Tim Kaine","We support Roe v. Wade."
"0.23"," Tim Kaine","But why won't he release his tax returns?"
"0.23"," Tim Kaine","That's what the Seventh Circuit decided just -- here's the difference, Elaine."
"0.23"," Mike Pence","I mean, it's extraordinary."
"0.23"," Mike Pence","And what I would say is that we -- we need to adopt criminal justice reform nationally."
"0.23"," Mike Pence","Scott Zubowski."
"0.23"," Tim Kaine","Donald Trump."
"0.23"," Mike Pence","And we'd go up to visit my dad's family in Chicago."
"0.23"," Mike Pence","Well, that's not what -- that's not what Israel thinks."
"0.23"," Tim Kaine","I am so proud to be running with another strong, history-making woman, Hillary Clinton, to be president of the United States."
"0.23"," Mike Pence","And when the deal's period runs out, there's no limitation on them obtaining weapons."
"0.23"," Tim Kaine","You want to -- you want to use a big broad brush against Mexicans on that?"
"0.23"," Mike Pence","It's called Immigrations and Customs Enforcement."
"0.23"," Tim Kaine","And we'll look for ways to keep it solvent going forward, focusing primarily on the payroll tax cap."
"0.23"," Tim Kaine","First, we've got to keep taking out their leaders on the battlefield."
"0.23"," Tim Kaine","I'm really fortunate."
"0.23"," Mike Pence","No, we haven't."
"0.23"," Tim Kaine","To beat terrorism, there's only one candidate who can do it, and it's Hillary Clinton."
"0.23"," Mike Pence","But honestly, Senator, we would know a lot more about it if Hillary Clinton would just turn over the 33,000 e-mails..."
"0.23"," Mike Pence","Oh, that's nonsense."
"0.23"," Mike Pence","There are so many families around the country who can't have children."
"0.23"," Tim Kaine","Hillary understands that very well."
"0.23"," Mike Pence","I do."
"0.23"," Mike Pence","More and more young people today are embracing life because we know we are -- we're better for it."
"0.23"," Mike Pence","It was a church on Sunday morning and grace before dinner."
"0.23"," Tim Kaine","We won't do it based on discriminating against you from the country you come from or the religion that you practice."
"0.23"," Mike Pence","And, I mean, Hillary Clinton and Senator Kaine -- God bless you for it, career public servants, that's great -- Donald Trump is a businessman, not a career politician."
"0.23"," Mike Pence","My three brothers and I would marvel at my uncle when he would come out in his uniform, sidearm at his side."
"0.23"," Mike Pence","No, it's really not."
"0.23"," Tim Kaine","That's a really important one."
"0.23"," Tim Kaine","Immigration."
"0.23"," Tim Kaine","And I relish that role."
"0.23"," Tim Kaine","Vladimir Putin is a dictator."
"0.23"," Tim Kaine","Vladimir Putin is a dictator."
"0.22"," Tim Kaine","This is a very challenging part of the world, and we ought to have a commander-in-chief who is prepared and done it, rather than somebody who goes around praising Vladimir Putin as a great leader."
"0.22"," Tim Kaine","I think we put a lot on police shoulders."
"0.22"," Tim Kaine","Donald Trump must give the American public his tax returns to show that he's qualified to be president."
"0.22"," Tim Kaine","OK."
"0.22"," Tim Kaine","OK."
"0.22"," Mike Pence","But Hillary Clinton and Tim Kaine want to build on Obamacare."
"0.22"," Mike Pence","We just had a conversation about the -- the violence that's besetting our cities."
"0.22"," Mike Pence","We truly do believe that law enforcement is not a force for racism or division in our country..."
"0.22"," Tim Kaine","If we -- look, a president should take action to defend the United States against imminent threat."
"0.22"," Mike Pence","And when that happens, the American people are going to stand tall, stand together, and we'll have the kind of unity that's been missing for way too long."
"0.22"," Tim Kaine","Great line from the -- great line from the gospel of Matthew."
"0.22"," Tim Kaine","Go to the tape."
"0.22"," Mike Pence","Those could be disclosed with tax returns, but they refuse to do them."
"0.22"," Mike Pence","... done well in some focus group."
"0.22"," Tim Kaine","These guys say all Mexicans are bad."
"0.22"," Tim Kaine","And Donald Trump has business..."
"0.22"," Mike Pence","I truly do."
"0.22"," Mike Pence","Do you?"
"0.22"," Mike Pence","And when you get the economy growing, Elaine, that's when you can deal with the national debt."
"0.22"," Tim Kaine","We'll focus on community policing."
"0.22"," Mike Pence","But he said the focus has to be on criminal aliens."
"0.22"," Tim Kaine","There's two plans on the table."
"0.22"," Tim Kaine","Alliances are critical."
"0.22"," Tim Kaine","He won't pay taxes."
"0.22"," Tim Kaine","That's what Donald Trump thinks."
"0.22"," Tim Kaine","And, Elaine, Iraq didn't want our troops to stay, and they wouldn't give us the protection for our troops."
"0.22"," Tim Kaine","Donald Trump said keep them out if they're Muslim."
"0.22"," Mike Pence","And he's paid payroll taxes, sales taxes, property taxes..."
"0.22"," Tim Kaine","You've been a city councilman and mayor."
"0.22"," Mike Pence","... keep that pay to play process out of the reach of the public."
"0.22"," Tim Kaine","You're going to raise taxes on the middle class."
"0.22"," Mike Pence","Well, first, we need to -- we need to make a commitment to rebuild our military, including modernizing our nuclear forces."
"0.22"," Tim Kaine","We have different views on -- on refugee issues and on immigration."
"0.22"," Tim Kaine","... but on fundamental issues of morality, we should let women make their own decisions."
"0.22"," Mike Pence","And with regard to when I struggle, I appreciate, and -- and -- and -- I have a great deal of respect for Senator Kaine's sincere faith."
"0.22"," Mike Pence","There's a question that you asked a little bit earlier that I want to go back to."
"0.22"," Mike Pence","It was heartbreaking."
"0.22"," Tim Kaine","He wouldn't -- he wouldn't support -- this is important, Elaine."
"0.22"," Tim Kaine","Donald Trump, again and again, has praised Vladimir Putin."
"0.22"," Tim Kaine","... and said it was discriminatory..."
"0.22"," Mike Pence","Yeah, and so -- but first, you know, let's make sure we're putting the safety and security of the American people first instead of Hillary Clinton expanding the Syrian refugee program..."
"0.21"," Mike Pence","So you bet I suspended that program."
"0.21"," Tim Kaine","Vladimir Putin."
"0.21"," Mike Pence","I did not make that statement."
"0.21"," Tim Kaine","And in the Senate, I have good working relationships across the aisle."
"0.21"," Tim Kaine","Hillary Clinton said something on the campaign trail, and the very next day, she said, you know what, I shouldn't have said that."
"0.21"," Tim Kaine","And I just -- again, I cannot believe that Governor Pence will defend the insult-driven campaign that Donald Trump has run."
"0.21"," Mike Pence","That will all change the day Donald Trump becomes president of the United States."
"0.21"," Mike Pence","But there's a -- there's a reason why people question the trustworthiness of Hillary Clinton."
"0.21"," Tim Kaine","So let's start with not praising Vladimir Putin as a great leader."
"0.21"," Tim Kaine","It's very important."
"0.21"," Tim Kaine","And there's two key elements to it."
"0.21"," Tim Kaine","Hillary Clinton knows exactly who this guy is."
"0.21"," Tim Kaine","Hillary told me why she asked me to be her running mate."
"0.21"," Tim Kaine","You're not going to cut taxes."
"0.21"," Mike Pence","And I stand by that decision."
"0.21"," Mike Pence","... the U.N. wants us to expand the Syrian refugee program..."
"0.21"," Mike Pence","I just did."
"0.21"," Tim Kaine","And both Donald Trump and Mike Pence want to get rid of birthright citizenship."
"0.21"," Tim Kaine","That model still works across our country, but there are some other models that don't work, an overly aggressive, more militarized model."
"0.21"," Mike Pence","... bring the -- let's welcome the children into our world."
"0.21"," Mike Pence","We all know the routine."
"0.21"," Mike Pence","That's absolutely false."
"0.21"," Tim Kaine","It's two things."
"0.21"," Tim Kaine","So the foundation does good work."
"0.21"," Tim Kaine","This is pretty important."
"0.21"," Tim Kaine","My mom and dad are sitting right here."
"0.21"," Tim Kaine","But my primary role is to be Hillary Clinton's right-hand person and strong supporter as she puts together the most historic administration possible."
"0.21"," Tim Kaine","I'm not going to change my religious practice to get one vote, but I know how to take an oath and uphold the law."
"0.21"," Tim Kaine","Finish your sentence."
"0.21"," Tim Kaine","I apologize."
"0.21"," Tim Kaine","I apologize."
"0.21"," Tim Kaine","But, fourth, we also have to work with allies to share and surge intelligence."
"0.21"," Mike Pence","Senator, we have a deportation force."
"0.21"," Mike Pence","And, look, if you put aside -- push aside your alliances, who you're going to share intelligence with?"
"0.21"," Tim Kaine","She worked to deal with the Russians to reduce their chemical weapons stockpile."
"0.21"," Mike Pence","I grew up with a cornfield in my backyard."
"0.20"," Tim Kaine","\""They will all be gone.\"""
"0.20"," Mike Pence","Well, first, let me say, I appreciated the \""you're hired,\"" \""you're fired\"" thing, Senator."
"0.20"," Tim Kaine","They're starting to get worried about North Korea, too."
"0.20"," Mike Pence","It has to remain the policy of the United States of America the denuclearization of the Korean Peninsula, plain and simple."
"0.20"," Mike Pence","And he will."
"0.20"," Tim Kaine","A president has to do that."
"0.20"," Mike Pence","Did you work on that one a long time?"
"0.20"," Mike Pence","Our primary threat today is ISIS."
"0.20"," Mike Pence","I'm just trying to keep up with the insult-driven campaign on the other side of the table."
"0.20"," Tim Kaine","That was a real struggle."
"0.20"," Mike Pence","But my Christian faith became real for me when I made a personal decision for Christ when I was a freshman in college."
"0.20"," Mike Pence","That's not -- that's absolutely false."
"0.20"," Mike Pence","That is absolutely inaccurate."
"0.20"," Mike Pence","But about Aleppo and about Syria, I truly do believe that what America ought to do right now is immediately establish safe zones, so that families and vulnerable families with children can move out of those areas, work with our Arab partners, real time, right now, to make that happen."
"0.20"," Tim Kaine","That's the Hillary Clinton plan; she's got the experience to do it."
"0.20"," Tim Kaine","Anybody who thinks otherwise doesn't know Russian history and they don't know Vladimir Putin."
"0.20"," Mike Pence","Well, I think it's -- I think it's a great question, Elaine, but it really does begin with us reforming our immigration system and putting the interests, particularly the safety and security of the American people, first."
"0.20"," Mike Pence","I'm very, very happy to defend Donald Trump."
"0.20"," Mike Pence","It's absolutely inarguable."
"0.20"," Tim Kaine","Elaine, let me tell you why I trust Hillary Clinton."
"0.20"," Mike Pence","I forgive you."
"0.20"," Tim Kaine","John McCain said, I look in his eyes and I see KGB."
"0.20"," Tim Kaine","Those years included the years of 9/11."
"0.20"," Mike Pence","I'm happy to defend him."
"0.20"," Tim Kaine","Try to defend that."
"0.20"," Tim Kaine","You've got to pick your choice."
"0.20"," Tim Kaine","Hillary and I believe in comprehensive immigration reform."
"0.20"," Mike Pence","Look, what you just heard is they have a plan for open borders, amnesty."
"0.20"," Mike Pence","... and we'd have a much better picture of what the Clinton Foundation was about."
"0.20"," Tim Kaine","But I just want to make it very, very clear that he's trying to fuzz up what Donald Trump has said."
"0.20"," Tim Kaine","You're not."
"0.20"," Mike Pence","... they'd be court martialed."
"0.20"," Mike Pence","That's what this campaign is really about, Senator."
"0.20"," Mike Pence","But I have to tell you, I just -- I was listening to the avalanche of insults coming out of Senator Kaine a minute ago."
"0.20"," Mike Pence","They built a family and -- and a good name and a business."
"0.20"," Mike Pence","... and assurance to our allies."
"0.20"," Tim Kaine","My dad, who ran an iron working and welding shop, is here tonight."
"0.19"," Mike Pence","And that's what an intelligence surge means."
"0.19"," Tim Kaine","It's an easy one."
"0.19"," Mike Pence","He hasn't broken his promise."
"0.19"," Tim Kaine","Yeah, that's right, so now we're even."
"0.19"," Mike Pence","Don't put words in my mouth that I'm not defending him."
"0.19"," Mike Pence","And that's because they're paying attention."
"0.19"," Mike Pence","I understand the..."
"0.19"," Tim Kaine","Political contributions?"
"0.19"," Tim Kaine","I'm a gun-owner."
"0.19"," Tim Kaine","Well, we do."
"0.19"," Tim Kaine","I grew up in a wonderful household with great Irish Catholic parents."
"0.19"," Mike Pence","... so that families that can't have children can adopt more readily those children from crisis pregnancies."
"0.19"," Tim Kaine","You know, I'm just saying facts about your running mate."
"0.19"," Mike Pence","Thanks."
"0.19"," Tim Kaine","On the other hand, in Donald Trump, you have somebody who praises Vladimir Putin all the time."
"0.19"," Mike Pence","Honestly, Senator."
"0.19"," Mike Pence","Honestly, Senator."
"0.19"," Mike Pence","Yeah."
"0.19"," Mike Pence","Yeah."
"0.19"," Mike Pence","Yeah."
"0.19"," Mike Pence","Yeah."
"0.19"," Tim Kaine","And have they held onto that passion throughout their life, regardless of whether they were in office or not, succeeding or failing?"
"0.19"," Tim Kaine","It's your two minutes."
"0.19"," Mike Pence","Well, this is probably the difference between Donald Trump and Hillary Clinton and Senator Kaine."
"0.19"," Tim Kaine","You have to."
"0.19"," Tim Kaine","And Donald Trump -- why would he do this?"
"0.19"," Tim Kaine","... persecuting journalists..."
"0.19"," Tim Kaine","She has a track record of working across the aisle to make things happen."
"0.19"," Tim Kaine","Yes, we can, and when we don't let them know, we don't let them in."
"0.19"," Mike Pence","You keep leaving that out of your quote."
"0.19"," Tim Kaine","I look forward to working together in whatever capacities we serve in."
"0.19"," Tim Kaine","All right."
"0.19"," Tim Kaine","But he does have dangerous ideas."
"0.19"," Mike Pence","Right."
"0.19"," Mike Pence","Right."
"0.19"," Mike Pence","Right."
"0.19"," Mike Pence","Right."
"0.19"," Tim Kaine","And Hillary kind of has that same feeling."
"0.19"," Tim Kaine","But I think it is really, really important that those of us who have deep faith lives don't feel that we could just substitute our own views for everybody else in society, regardless of their views."
"0.19"," Mike Pence","The answer to this economy is not more taxes."
"0.19"," Mike Pence","But what's it got to do with Russia?"
"0.18"," Tim Kaine","And you know that, Governor."
"0.18"," Mike Pence","Well, look, it's -- look, he's not a polished politician like you and Hillary Clinton."
"0.18"," Mike Pence","... is deeply troubling to me."
"0.18"," Tim Kaine","And he's breaking his promise."
"0.18"," Tim Kaine","Do you think Donald Trump is smart to not pay taxes?"
"0.18"," Mike Pence","But here's -- there is a choice, and it is a choice on life."
"0.18"," Tim Kaine","OK, now I can weigh in."
"0.18"," Mike Pence","You wouldn't necessarily know that."
"0.18"," Tim Kaine","And if you elect me, I will uphold the law."
"0.18"," Mike Pence","It's a principle that -- Senator Kaine -- and I'm very gentle about this, because I really do respect you -- it's a principle that you embrace."
"0.18"," Tim Kaine","She was on other committees."
"0.18"," Mike Pence","Border security, removing criminal aliens, upholding with law, and then -- but then, Senator, I'll work you when you go back to the Senate, I promise you, we'll work you to reform the immigration system."
"0.18"," Mike Pence","He basically was saying it's not going to happen again."
"0.18"," Tim Kaine","I've heard Senator Scott make that eloquent plea."
"0.18"," Tim Kaine","She's not going around praising Vladimir Putin as a great guy."
"0.18"," Tim Kaine","We have to keep it solvent."
"0.18"," Mike Pence","People in Fort Wayne, Indiana, know different."
"0.18"," Tim Kaine","She's had the experience doing it."
"0.18"," Mike Pence","... is astonishing to the American people."
"0.18"," Mike Pence","We can -- like Mother Teresa said at that famous national prayer breakfast..."
"0.18"," Tim Kaine","I can't believe that you won't defend your own voting record."
"0.18"," Tim Kaine","Gadi Eizenkot, you can go check it."
"0.18"," Tim Kaine","But, Governor Pence..."
"0.18"," Tim Kaine","I am interested to hear whether he'll defend his running mate's not releasing taxes and not paying taxes."
"0.18"," Tim Kaine","But it is not the role of the public servant to mandate that for everybody else."
"0.18"," Tim Kaine","If you mistake leadership for dictatorship, and you can't tell the difference, a country that's running its economy into the ground..."
"0.18"," Tim Kaine","Well, if you want to put more American troops in Iraq, you can propose that."
"0.18"," Tim Kaine","Absolutely."
"0.18"," Tim Kaine","These are very, very good things."
"0.18"," Mike Pence","You know, things don't always come out exactly the way he means them."
"0.18"," Mike Pence","We -- we grieve with those who grieve."
"0.18"," Mike Pence","Strength."
"0.17"," Mike Pence","And then she labeled one after another \""ism\"" on millions of Americans who believe that we can have a stronger America at home and abroad, who believe we can get this economy moving again, who believe that we can end illegal immigration once and for all."
"0.17"," Tim Kaine","That is absolutely false and you know that."
"0.17"," Tim Kaine","That would be a big mistake because it polarizes the relationship between the police and the community."
"0.17"," Tim Kaine","But, Governor..."
"0.17"," Mike Pence","We all lived through that day as a nation."
"0.17"," Mike Pence","Senator, that's -- that's nonsense."
"0.17"," Mike Pence","I'm happy to defend him, Senator."
"0.17"," Tim Kaine","When we don't know who they are, we don't let them in."
"0.17"," Mike Pence","We've just got to have American strength on the world stage."
"0.17"," Mike Pence","And I cannot -- I can't conscience about -- about a party that supports that."
"0.17"," Mike Pence","That's..."
"0.17"," Tim Kaine","And with respect to refugees, we want to keep people out if they're dangerous."
"0.17"," Tim Kaine","For me, the hardest struggle in my faith life was the Catholic Church is against the death penalty and so am I."
"0.17"," Mike Pence","Plain and simple."
"0.17"," Tim Kaine","And this is one of these ones where you can just go to the tape on it and see what Donald Trump has said."
"0.17"," Mike Pence","I mean, to hold to the view -- and I know Senator Kaine, you hold pro-life views personally -- but the very idea that a child that is almost born into the world could still have their life taken from them is just anathema to me."
"0.17"," Tim Kaine","Can you defend it?"
"0.17"," Tim Kaine","She was on the Armed Services Committee."
"0.17"," Mike Pence","I know you were."
"0.17"," Tim Kaine","Now..."
"0.17"," Mike Pence","And I get all of that."
"0.17"," Tim Kaine","I just have to correct Governor Pence...."
"0.17"," Mike Pence","Well, I would suggest to you that the families that live in our inner cities that are besieged by crime..."
"0.17"," Tim Kaine","Mike Pence..."
"0.17"," Mike Pence","Don't put words in my mouth."
"0.17"," Tim Kaine","No, he won't."
"0.17"," Mike Pence","I also want to thank Donald Trump for making that call and inviting us to be a part of this ticket."
"0.17"," Mike Pence","The Seventh Circuit..."
"0.17"," Mike Pence","I mean, I -- we -- we mourn with those who mourn."
"0.17"," Tim Kaine","So, on the foundation."
"0.17"," Mike Pence","Yeah, here we go."
"0.17"," Tim Kaine","And if -- if you're afraid to have the discussion, you'll never solve it."
"0.17"," Mike Pence","You've got to err on the side of the safety and security of the American people, Senator."
"0.17"," Tim Kaine","Now, I get to weigh in."
"0.17"," Tim Kaine","There are areas where we can cooperate."
"0.17"," Tim Kaine","Elaine..."
"0.17"," Tim Kaine","I try to practice my religion in a very devout way and follow the teachings of my church in my own personal life."
"0.17"," Mike Pence","And those judges -- those judges said..."
"0.17"," Mike Pence","There's a broad range of other things that we ought to do, as well."
"0.17"," Mike Pence","We're going to -- we're going to go back to the days of peace through strength."
"0.17"," Mike Pence","They're going to raise your taxes."
"0.17"," Tim Kaine","Yeah, that's an easy one for me, Elaine."
"0.17"," Mike Pence","Donald Trump is a strong leader..."
"0.17"," Tim Kaine","Here's what I learned as a mayor and a governor."
"0.17"," Mike Pence","But that's not what you're talking about."
"0.17"," Mike Pence","I must have hit a nerve here."
"0.17"," Mike Pence","... where people can come into this country."
"0.17"," Mike Pence","OK..."
"0.17"," Mike Pence","... who is going to lead with American strength."
"0.17"," Mike Pence","Did you all just hear that?"
"0.16"," Tim Kaine","That's seared onto her, the need to beat terrorism."
"0.16"," Mike Pence","He's going..."
"0.16"," Mike Pence","..."
"0.16"," Mike Pence","... that was discovered..."
"0.16"," Mike Pence","I'll be -- I'll be very respectful."
"0.16"," Mike Pence","Oh..."
"0.16"," Tim Kaine","Yeah, let's talk about the state of..."
"0.16"," Tim Kaine","And I know he's laughing at this, but every president..."
"0.16"," Mike Pence","But in the midst -- Elaine, thank you."
"0.16"," Mike Pence","Because there is -- a society can be judged by how it deals with its most vulnerable, the aged, the infirm, the disabled, and the unborn."
"0.16"," Mike Pence","We could improve adoption..."
"0.16"," Tim Kaine","And I can't imagine how Governor Pence can defend the insult- driven selfish \""me first\"" style of Donald Trump."
"0.16"," Tim Kaine","And that's what it's going to take."
"0.16"," Mike Pence","This is a very challenging time in the life of our nation."
"0.16"," Mike Pence","Can I speak about the cybersecurity surge at all?"
"0.16"," Mike Pence","When you talk about all these -- all these baseless rumors about Russia and the rest, Hillary Clinton -- you asked the trustworthy question at the very beginning -- the reason..."
"0.16"," Tim Kaine","I'm not sure he could stand up so tough to the people who have loaned him money."
"0.16"," Mike Pence","That..."
"0.16"," Tim Kaine","Sure."
"0.16"," Mike Pence","I mean, it really is astonishing that on the day..."
"0.16"," Tim Kaine","But do you -- do you think -- do you think we should have -- more nuclear weapons in the world will make us safer?"
"0.16"," Tim Kaine","And both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage."
"0.16"," Mike Pence","They always say we're going to do this, we're going to do that, we'll eventually get the border..."
"0.16"," Mike Pence","How does that work?"
"0.16"," Mike Pence","People need to understand, we can come together as a nation."
"0.16"," Mike Pence","The larger question here..."
"0.16"," Tim Kaine","It is so great to be back at Longwood University in Farmville, Virginia."
"0.16"," Tim Kaine","And we will keep it solvent."
"0.15"," Mike Pence","You essentially..."
"0.15"," Mike Pence","You just heard Senator Kaine reject stop-and-frisk."
"0.15"," Mike Pence","The potential is there to really change the direction of this country, but it's going to take leadership to do it."
"0.15"," Mike Pence","Well, let me -- let me say first and foremost that, Senator, you and Hillary Clinton would know a lot about an insult- driven campaign."
"0.15"," Tim Kaine","This is a very special place."
"0.15"," Mike Pence","And I look forward if I'm privileged to be in this role of working with you in the Senate to make sure that we resource that effort."
"0.15"," Mike Pence","Well, thanks, Elaine."
"0.15"," Mike Pence","I..."
"0.15"," Tim Kaine","I..."
"0.15"," Tim Kaine","You've got to be tough on Russia."
"0.15"," Mike Pence","Right and..."
"0.15"," Mike Pence","Senator Kaine?"
"0.15"," Tim Kaine","A U.S. senator."
"0.15"," Mike Pence","I'm telling you..."
"0.15"," Mike Pence","Well, thanks."
"0.15"," Tim Kaine","And I served in the Senate."
"0.15"," Tim Kaine","I was in Virginia where the Pentagon's..."
"0.15"," Tim Kaine","And that's what I bring to the ticket, that experience having served at all levels of government."
"0.15"," Tim Kaine","Until he..."
"0.15"," Mike Pence","Well, it's a wonderful question."
"0.15"," Tim Kaine","But we really feel like you should live fully and with enthusiasm the commands of your faith."
"0.15"," Tim Kaine","Here's what people should look at as they look at a public servant."
"0.15"," Tim Kaine","Let's talk about them."
"0.15"," Mike Pence","And we don't have the resources or the will to deport them systemically."
"0.15"," Mike Pence","We can create a culture of life."
"0.15"," Tim Kaine","Now exactly what action, you would have to determine what your intelligence was, how certain you were of that intelligence, but you would have to take action."
"0.15"," Tim Kaine","Hillary and I want to do enforcement based on, are people dangerous?"
"0.15"," Mike Pence","And that really has got to stop."
"0.15"," Tim Kaine","So we're working together with China, and we need to."
"0.15"," Mike Pence","They have not -- Elaine, let me finish a sentence."
"0.15"," Tim Kaine","And she's got a plan to do it."
"0.15"," Tim Kaine","Elaine, if I could -- if I could jump in."
"0.15"," Mike Pence","But what I can't understand is with Hillary Clinton and now Senator Kaine at her side is to support a practice like partial-birth abortion."
"0.15"," Tim Kaine","Here's her plan to defeat ISIL."
"0.14"," Mike Pence","And my Christian faith is at the very heart of who I am."
"0.14"," Mike Pence","... that she refused to turn over in her private server..."
"0.14"," Tim Kaine","... or John McCain is not a hero, he is showing you who he is."
"0.14"," Mike Pence","Senator."
"0.14"," Tim Kaine","And to add to it, and to add to it, and to add to it, we are a nation of immigrants."
"0.14"," Tim Kaine","And I guess all of us who do pay for those things, I guess we're stupid."
"0.14"," Mike Pence","The American people can review that."
"0.14"," Mike Pence","Right, this is grade school."
"0.14"," Mike Pence","Thank you."
"0.14"," Mike Pence","Thank you."
"0.14"," Mike Pence","We're going to -- we're going to -- we're going to..."
"0.14"," Mike Pence","Elaine, I have to respond to this."
"0.14"," Tim Kaine","And if -- and I'll just say this, Governor."
"0.14"," Tim Kaine","If you don't know the difference between dictatorship and leadership, then you got to go back to a fifth-grade civics class."
"0.14"," Tim Kaine","And guess what?"
"0.14"," Mike Pence","He -- look..."
"0.14"," Mike Pence","Senator, you've whipped out that Mexican thing again."
"0.14"," Tim Kaine","Of course we can."
"0.14"," Tim Kaine","That's what we ought to be doing in public life."
"0.14"," Mike Pence","She had a private server..."
"0.14"," Mike Pence","I try and spend a little time on my knees every day."
"0.14"," Tim Kaine","I'm going to talk about the foundation, and then I'll talk about North Korea."
"0.14"," Tim Kaine","No, I..."
"0.14"," Tim Kaine","And I know you can't defend."
"0.14"," Tim Kaine","That is completely antithetical to the Jeffersonian values of..."
"0.14"," Mike Pence","And secondly, I just have to tell you that the provocations by Russia need to be met with American strength."
"0.14"," Tim Kaine","And to add..."
"0.14"," Mike Pence","They're going to see that real change can happen after decades of just talking about it."
"0.14"," Mike Pence","But the problem with that..."
"0.14"," Tim Kaine","You don't get to decide the rights and wrongs of this."
"0.14"," Tim Kaine","He doesn't want to acknowledge..."
"0.14"," Tim Kaine","He doesn't want to acknowledge..."
"0.14"," Mike Pence","Because there are..."
"0.14"," Mike Pence","I believe it with all my heart."
"0.13"," Tim Kaine","They didn't want her to say that, but she did."
"0.13"," Mike Pence","But let me tell you what will really make the Middle East dangerous."
"0.13"," Tim Kaine","So there is a fundamental respect issue here."
"0.13"," Mike Pence","There they go again."
"0.13"," Mike Pence","I think if you're going to be pro-life, you should -- you should be pro- adoption."
"0.13"," Tim Kaine","Here's four."
"0.13"," Mike Pence","We need to -- we need to marshal the resources of our allies in the region, and in the immediate, we need to act and act now to get people out of harm's way."
"0.13"," Mike Pence","Absolutely I will."
"0.13"," Tim Kaine","I have to..."
"0.13"," Tim Kaine","But, Governor Pence, I just..."
"0.13"," Tim Kaine","Elaine, thank you for being here tonight, and, Governor Pence, welcome."
"0.13"," Tim Kaine","Living our lives of faith or motivation with enthusiasm and excitement, convincing other, dialoguing with each other about important moral issues of the day..."
"0.13"," Mike Pence","You -- honestly, Senator, you can roll out the numbers and the sunny side, but I got to tell you, people in Scranton know different."
"0.13"," Mike Pence","Well, that offended me."
"0.13"," Mike Pence","But, look, this is very tough stuff."
"0.13"," Tim Kaine","Because I think it's fine to be a Democrat or Republican or independent, but after Election Day, the goal is work together."
"0.13"," Tim Kaine","Governor Pence -- Governor Pence doesn't think the world's going so well and he, you know, is going to say it's everybody's fault."
"0.13"," Mike Pence","Better skill and capacity, but also better alliances."
"0.13"," Mike Pence","... tonight."
"0.13"," Tim Kaine","But they told you there's a right way and a wrong way to do it."
"0.13"," Mike Pence","But I'm telling you what the policy of our administration would be."
"0.13"," Tim Kaine","So let's talk about abortion and choice."
"0.13"," Mike Pence","I have to go back to."
"0.13"," Mike Pence","But it all for me begins with cherishing the dignity, the worth, the value of every human life."
"0.13"," Mike Pence","Absolutely..."
"0.13"," Tim Kaine","The last thing -- the last thing I want to ask Governor Pence is..."
"0.13"," Tim Kaine","Well, this is one where we can just kind of go to the tape on it."
"0.13"," Tim Kaine","... and talk about -- let me talk about the things that Governor Pence doesn't want to acknowledge, Elaine."
"0.13"," Mike Pence","Well, we're answering the question about -- about a business thing, is he..."
"0.13"," Tim Kaine","How can you support the troops if you won't pay taxes?"
"0.13"," Mike Pence","Well, let's -- no, no, don't put words in my mouth."
"0.12"," Tim Kaine","And the last thing I'll say is this..."
"0.12"," Tim Kaine","I think you will help me figure out how to govern this nation so that we always keep in mind that the success of the administration is the difference we make in people's lives."
"0.12"," Tim Kaine","Well, I would admit that's not a polished..."
"0.12"," Tim Kaine","And so I had to grapple with that."
"0.12"," Tim Kaine","You will look in vain to see Donald Trump ever taking responsibility for anybody and apologizing."
"0.12"," Tim Kaine","We would agree this was a heartbreaking example."
"0.12"," Tim Kaine","So here's what we'll do."
"0.12"," Tim Kaine","So here's what we'll do."
"0.12"," Tim Kaine","We can encourage people to support life."
"0.12"," Mike Pence","It's my time, Senator."
"0.12"," Tim Kaine","Elaine, this is a fundamental question, a fundamental question."
"0.12"," Mike Pence","It's deeply humbling for me to be here, to be surrounded by my -- my wonderful family."
"0.12"," Mike Pence","And so I want to thank all of you for being -- being with us tonight."
"0.12"," Tim Kaine","We trust Hillary Clinton, my wife and I, and we trust her with the most important thing in our life."
"0.12"," Tim Kaine","I don't like saying that in front of my wife and my mother."
"0.12"," Mike Pence","They want to see an American comeback."
"0.12"," Mike Pence","I mean, I will give you -- and I was in Washington, D.C., on 9/11."
"0.12"," Mike Pence","And let me -- let me -- this whole Putin thing."
"0.12"," Tim Kaine","Let me tell you this."
"0.12"," Tim Kaine","Can we just be clear -- Hillary and I will do immigration enforcement and we'll vet refugees based on whether they're dangerous or not."
"0.12"," Mike Pence","Well, first off, thank you, Elaine, and thank you to -- thank you to Norwood University for their wonderful hospitality and the Commission on Presidential Debates."
"0.12"," Mike Pence","But I have to tell you that -- that all this talk about tax returns -- and I get it, you know, you want to keep bringing that up."
"0.12"," Mike Pence","You just said better."
"0.12"," Tim Kaine","Well, I guess I can't believe you are defending the position that there is no bias and it's a topic we don't even..."
"0.12"," Mike Pence","So -- the FBI..."
"0.12"," Mike Pence","Thank you, Senator."
"0.12"," Mike Pence","That's how Washington always plays it."
"0.12"," Tim Kaine","So how do deal with him?"
"0.11"," Tim Kaine","The only way the American public will see whether he has a conflict of interest..."
"0.11"," Tim Kaine","This is important --"
"0.11"," Tim Kaine","And I want to make this very plain."
"0.11"," Tim Kaine","And if you're afraid to have..."
